epoch,train_loss,validation_loss
1,0.14339753001404068,0.21372649011512598
2,0.14071031417874102,0.21225088384623328
3,0.13936193109929804,0.21532402808467546
4,0.1384168889308008,0.20903843951721987
5,0.1377188227617047,0.22285283325860897
6,0.13695063254467044,0.21486853311459223
7,0.13588649150442852,0.21849137311801314
8,0.13581513751585525,0.21905941935256124
9,0.13508662243697575,0.20906484592705965
10,0.13456450187990565,0.21275516444196305
11,0.13368082545566623,0.2185844024643302
12,0.13343810899049569,0.21793406503275037
13,0.13271018335436935,0.21573107736185193
14,0.1324594232363372,0.22086409153416753
15,0.13221795379066983,0.2272031968459487
16,0.1323076911038733,0.22133389922479788
17,0.131231417776122,0.21339016578470668
18,0.13130185969869565,0.2180386115796864
19,0.13031627629985668,0.21761886992802223
20,0.13066194085492494,0.22550153344248733
21,0.1299702117121268,0.22620919719338417
22,0.13011047148293184,0.22631417137260237
23,0.1293533795862301,0.22125866869464517
24,0.12907016126083587,0.22081186948344111
25,0.12896336075699863,0.21766754146665335
26,0.12841888964781095,0.22902172291651368
27,0.1285907963293331,0.22913994872942567
28,0.12813579232629807,0.2202191068790853
29,0.12799184224965285,0.22182976889113584
30,0.1273468622133761,0.2194694879775246
31,0.12702740539313975,0.21055963837231198
32,0.1269193129646762,0.22066501543546715
33,0.1268032768965574,0.2230606305723389
34,0.12653064512028908,0.2278505959548056
35,0.12644032284072998,0.2316574229237934
36,0.12630466726660244,0.22720059240236878
37,0.12576470913236937,0.2289107870310545
38,0.12559088404228627,0.21685084328055382
39,0.12563381069850213,0.2182223383958141
40,0.1256403542440057,0.21840605651959777
41,0.12496544461047053,0.2198800016194582
42,0.12501472331512925,0.21944950303683677
43,0.12497663601769163,0.22862779876838127
44,0.12433186823726507,0.2200730744128426
45,0.12402032877297137,0.22524856605256596
46,0.12405905556009329,0.2230560057796538
47,0.12405138108904533,0.2183652282692492
48,0.12405357929261676,0.22803582716733217
49,0.12369507827439392,0.20979388570412993
50,0.12326352719686351,0.2233477427313725
51,0.12320529054522676,0.22590742881099382
52,0.12304776842442514,0.2181331366300583
53,0.12263226539340168,0.2275914487739404
54,0.12263386128961798,0.23496358919267854
55,0.12288690475351272,0.20921745353067914
56,0.12244809333219903,0.2224474879913032
57,0.12227939083385855,0.22108628476659456
58,0.12201907682322036,0.22297954000532627
59,0.12214364267694128,0.2146311441125969
