epoch,train_loss,validation_loss
1,0.7520842749877098,0.2718934784842353
2,0.32971123588639634,0.22821292064638218
3,0.2833496047346827,0.20868826733949858
4,0.25961191602389544,0.20696309469958657
5,0.24475445993582937,0.1983705955183404
6,0.23390071803615206,0.197440433769654
7,0.22550150544144387,0.19199577432412368
8,0.2187908279935387,0.1942029943705624
9,0.21312731662857967,0.19118537314427206
10,0.2084184593767555,0.1844912842552886
11,0.2038002442052858,0.18443557193391344
12,0.20087903439338553,0.18848846731787053
13,0.19727394247173866,0.1839241722328031
14,0.19449865237158925,0.18819047198591068
15,0.1917815515039239,0.1993499701985946
16,0.18935807140034563,0.1971824510484679
17,0.1874087877233295,0.18276390025758335
18,0.18533683770386747,0.18751899242146403
19,0.18317675432097477,0.183450646380074
20,0.18165068919146443,0.19039808398383296
21,0.17913368185064193,0.18520954385017738
22,0.17869583419127058,0.19502371014692846
23,0.17676175672020494,0.19016243491926763
24,0.175437365671989,0.18804184780416325
25,0.17381682642142507,0.1883126119008431
26,0.172972254001289,0.18710760167266569
27,0.17178523665085715,0.18416494666001734
28,0.1706559551531162,0.19768278071513543
29,0.16955640984664064,0.19325105521159294
30,0.16809452943099562,0.18895752944497982
31,0.16712051922927795,0.19165406911036906
32,0.16601829037713847,0.19104491893807027
33,0.16552171092954848,0.18694513431216916
34,0.1652218430392766,0.19148146087287837
35,0.16398446530862767,0.19400018682846656
36,0.1633034224806566,0.1866295880232102
37,0.1624629076566147,0.19293489593725938
38,0.16136843214432398,0.1855122962823281
39,0.1606579118409294,0.1872136391635634
40,0.15990686914981533,0.1941796717608077
41,0.15939683150314413,0.1923729544903478
42,0.15916653494799257,0.19301247170083544
43,0.15779271733391192,0.1900680666295891
44,0.15747160504129637,0.1922234044625209
45,0.1567815416394542,0.19922073497476742
46,0.15600608606077113,0.1943038216768167
47,0.15543927112852088,0.20053754950690472
48,0.15477926002718417,0.18960944321165737
49,0.15456984851381445,0.1874282480432437
50,0.15382259424078637,0.1919669517212444
51,0.1534281570798535,0.19733118737100536
52,0.15249009578925035,0.20619419675606948
53,0.15226089446944652,0.19219643380652127
54,0.151827628842884,0.19311720699581325
55,0.15093493610125444,0.1982072499445361
56,0.1506445272387328,0.19848671759295666
57,0.15030152678225656,0.19662265778861493
58,0.14934750315490883,0.1936845243231863
59,0.14998169504889883,0.18779717888842282
60,0.14882764516445754,0.1886695342568251
61,0.14861717491780932,0.19220346689988405
62,0.14815145877838662,0.19091955680623013
63,0.14801490706198767,0.20429911935686046
64,0.14734798083174663,0.19729738593356222
65,0.14643217388907673,0.1965041852150208
66,0.1463963606890914,0.20262401067038888
67,0.14611860975243587,0.19078359014203405
68,0.14604285494697714,0.1966222979956203
69,0.14504198411506408,0.20156319375730988
70,0.14512434585281914,0.19771786282459894
71,0.14491386318853658,0.19575736601637977
72,0.14418019355168507,0.2000246794305296
73,0.1440196927236692,0.19784574210643768
74,0.14354121061258537,0.1901980070476858
75,0.14325389344397838,0.2021686231606027
76,0.143442065645822,0.19754892874222535
77,0.1425630403878549,0.20146236727889785
78,0.14226510608414084,0.2031632096339495
79,0.14228128549433494,0.20950380821003872
80,0.1416505260572481,0.2040523333936675
81,0.14130073058050732,0.20125544536062795
82,0.1413479952733646,0.19511746385922799
83,0.1412252660754115,0.19564394958508322
84,0.14031880212780645,0.19941326606477427
85,0.14038208259861598,0.20540668592493758
86,0.139773764731084,0.2046013842535834
87,0.13954543735695835,0.1973791984666107
88,0.1392772951279896,0.204476217365163
89,0.13915935887285774,0.2022047900618651
90,0.13906116126020618,0.21388496929763728
91,0.13884490308406477,0.20493759584223104
92,0.13808534414830265,0.21067216037175593
93,0.13858102926219157,0.20695636841731194
94,0.1376044199794762,0.20752949254889774
95,0.13784374534291682,0.21418945707826534
96,0.13749677199428922,0.2083033607301549
97,0.13691343093994315,0.21338306252772993
98,0.1369844801220651,0.21522788130320036
99,0.13653416369741542,0.20225506683445385
100,0.13642016426141343,0.1995900087376945
101,0.13573216239314276,0.210271550485721
102,0.13580116374647103,0.2034972342543113
103,0.13562394360107177,0.21204641754301184
104,0.13500327662310066,0.21236401758132836
105,0.13488709339139734,0.2104971542572364
106,0.1353015613186267,0.20824399310299474
107,0.1345484137353575,0.20964973680993432
108,0.13473026084807493,0.21744281817705202
109,0.13415011394756576,0.21561373222587454
110,0.13390547948851275,0.2048808175147089
111,0.13372863342331626,0.20978212050902537
112,0.1338870859439851,0.20844256591338378
113,0.1332556012427952,0.2186181089307508
114,0.13318299365994146,0.21170529493918785
115,0.13318505812258946,0.21193632935611612
116,0.13287683756215496,0.20641101954075006
117,0.13266465076939477,0.20939752720614785
118,0.1323081263127517,0.207437972100372
119,0.13243320396176209,0.20463988044832507
120,0.1315521552234657,0.21449884861452967
121,0.1320138118938354,0.20654716272639412
122,0.13177169087123236,0.20697251662739322
123,0.13151402116349897,0.20824933886273295
124,0.1314286525677869,0.206106824752612
125,0.13097806562848002,0.20519363319771922
126,0.13082296794831158,0.21445109052026373
127,0.13101837331076396,0.20534734039479852
128,0.13036614498855795,0.21468322259238642
129,0.13038389359993793,0.2080901496940189
130,0.13051186264353337,0.21183047946701702
131,0.12970673829185078,0.2120683724936257
132,0.12987318814031837,0.2101015009177037
133,0.1292620653313392,0.20950615374196288
134,0.12945024541281122,0.20202214137101784
135,0.12941813923558787,0.21081494469927925
136,0.12939654487048008,0.21501421329812107
137,0.12918486324028583,0.2119588611854447
138,0.1291303161453303,0.2083000668730491
139,0.12848041294883125,0.19923176005100593
140,0.12856190964365058,0.20740414799278617
141,0.12839969107313937,0.21695532974524376
142,0.1283122162733759,0.21469469865163168
143,0.12775454722996699,0.2090827611903859
144,0.1278266892134153,0.2123067484706895
145,0.12788319418563662,0.21354419400549343
146,0.12731361306650957,0.2057937578513072
147,0.12730334975559715,0.21923273496138743
148,0.12720368928786527,0.2065792786769378
149,0.12738558167337974,0.21124090356195074
150,0.12680290695506738,0.2039794023347716
151,0.12714827981502114,0.2165046482004671
152,0.12677796227096322,0.22114615893771505
153,0.1266602805814606,0.20910434272044745
154,0.12645826823720635,0.21090168747891727
155,0.12615654874151594,0.2067887406063895
156,0.12620335030199287,0.21148539060710841
157,0.12605460950174469,0.21685292998440245
158,0.12613714991316843,0.22272440268952623
159,0.12570076259234683,0.21923588572913766
160,0.12578869644853627,0.21249779485739195
161,0.12550626718258673,0.2065302063511987
162,0.12525230165104798,0.2108844882912106
163,0.12494842147048262,0.20839689671993256
164,0.1255486312086136,0.20588281916247475
